parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-977351,Ac2S3,0,mp-977351,Ac2S3,-2.440363970687502,NM,0.0,-2.3775060080933255,-0.004231216374678047
mp-977351,Ac2S3,3,mp-977351,Ac2S3,-2.440363970687502,NM,0.0,-2.365753116030015,0.04163458254964219
mp-862698,Ac2SiAu,-3,mp-862698,Ac2SiAu,-0.6415023025000011,NM,0.643123999999999,-0.6881161947775123,0.5309044293572712
mp-862698,Ac2SiAu,0,mp-862698,Ac2SiAu,-0.6415023025000011,NM,0.643123999999999,-0.655465506335513,0.5552217326837059
mp-862698,Ac2SiAu,3,mp-862698,Ac2SiAu,-0.6415023025000011,NM,0.643123999999999,-0.6375697569134875,0.5554162937969471
mp-983586,Ac2SiHg,-3,mp-983586,Ac2SiHg,-0.461455381875005,NM,6e-06,-0.5291993322602665,0.06318292322019685
mp-983586,Ac2SiHg,0,mp-983586,Ac2SiHg,-0.461455381875005,NM,6e-06,-0.4124658086411822,0.05181277588460421
mp-983586,Ac2SiHg,3,mp-983586,Ac2SiHg,-0.461455381875005,NM,6e-06,-0.6681285506532374,0.374260437831866
mp-865855,Ac2SiPd,-3,mp-865855,Ac2SiPd,-0.6024802275000021,NM,1.5e-06,-0.6178819862725314,0.02911167586393639
mp-865855,Ac2SiPd,0,mp-865855,Ac2SiPd,-0.6024802275000021,NM,1.5e-06,-0.6075916288481069,0.015007854609786512
mp-865855,Ac2SiPd,3,mp-865855,Ac2SiPd,-0.6024802275000021,NM,1.5e-06,-0.5816919401256385,-0.008346004266411926
mp-864795,Ac2SnHg,-3,mp-864795,Ac2SnHg,-0.645805788125002,NM,3.4e-05,-0.5724573926859773,0.24287295346937873
mp-864795,Ac2SnHg,0,mp-864795,Ac2SnHg,-0.645805788125002,NM,3.4e-05,-0.6312900687105728,0.08915536293664736
mp-864795,Ac2SnHg,3,mp-864795,Ac2SnHg,-0.645805788125002,NM,3.4e-05,-0.6624004720885925,0.11882445230350396
mp-1183072,Ac2TlCd,-3,mp-1183072,Ac2TlCd,-0.407012381249998,NM,0.9829102,-0.43987165245280085,0.785419944833975
mp-1183072,Ac2TlCd,0,mp-1183072,Ac2TlCd,-0.407012381249998,NM,0.9829102,-0.49205023447888674,0.755255457942034
mp-1183072,Ac2TlCd,3,mp-1183072,Ac2TlCd,-0.407012381249998,NM,0.9829102,-0.4005488178256371,0.6232584427888449
mp-1183073,Ac2TlIn,-3,mp-1183073,Ac2TlIn,-0.513242463749996,NM,1.3900000000000002e-05,-0.4965753836684138,0.17602155479330145
mp-1183073,Ac2TlIn,0,mp-1183073,Ac2TlIn,-0.513242463749996,NM,1.3900000000000002e-05,-0.521923201203347,0.3967098850346015
mp-1183073,Ac2TlIn,3,mp-1183073,Ac2TlIn,-0.513242463749996,NM,1.3900000000000002e-05,-0.4850901432700131,0.05418852218505669
mp-1183070,Ac2TlSn,-3,mp-1183070,Ac2TlSn,-0.570140636250002,NM,1.03e-05,-0.6327961241154502,0.03240850230024227
mp-1183070,Ac2TlSn,0,mp-1183070,Ac2TlSn,-0.570140636250002,NM,1.03e-05,-0.4688428968437641,0.12471817777809106
